batch,objective,category,loss_value,gradient_l2_norm,fraction_total_gradient_sq,cosine_with_base_gradient,t_low_mean,t_high_mean
0,base_original,embedding_input,0.30092430114746094,0.27089580866654456,0.0793277497209051,1.0,0.25816601514816284,0.8039204478263855
0,base_original,cell_head,0.30092430114746094,0.1197266150703381,0.015495370759283275,1.0,0.25816601514816284,0.8039204478263855
0,base_original,other_shared,0.30092430114746094,0.7860275364602685,0.6678763807429229,1.0,0.25816601514816284,0.8039204478263855
0,base_original,position_head,0.30092430114746094,0.18317092756077108,0.036268838942424546,1.0,0.25816601514816284,0.8039204478263855
0,base_original,gemnet_block_1,0.30092430114746094,0.1989702865254207,0.04279539254391864,1.0,0.25816601514816284,0.8039204478263855
0,base_original,gemnet_block_2,0.30092430114746094,0.1754946500925346,0.03329264707210833,1.0,0.25816601514816284,0.8039204478263855
0,base_original,gemnet_block_3,0.30092430114746094,0.2015449843077624,0.04391011282341572,1.0,0.25816601514816284,0.8039204478263855
0,base_original,gemnet_block_4,0.30092430114746094,0.20342030161949182,0.04473105604823088,1.0,0.25816601514816284,0.8039204478263855
0,base_original,condition_modules,0.30092430114746094,0.05809419190495624,0.003648261781728858,1.0,0.25816601514816284,0.8039204478263855
0,base_original,atomic_head,0.30092430114746094,0.17380376216805735,0.032654189565061935,1.0,0.25816601514816284,0.8039204478263855
0,base_original,ALL_PARAMETERS,0.30092430114746094,0.961810952373243,1.0,1.0,0.25816601514816284,0.8039204478263855
0,tcl_atomic_weighted,embedding_input,0.08717834204435349,0.12494313710516546,0.16946725838817747,0.11514525527866985,0.25816601514816284,0.8039204478263855
0,tcl_atomic_weighted,other_shared,0.08717834204435349,0.21873625980382283,0.5194007290682757,0.2965904176758926,0.25816601514816284,0.8039204478263855
0,tcl_atomic_weighted,gemnet_block_1,0.08717834204435349,0.07811573446525877,0.06624270101110348,0.3561317692908328,0.25816601514816284,0.8039204478263855
0,tcl_atomic_weighted,gemnet_block_2,0.08717834204435349,0.056270053239488145,0.034372857961531035,0.40385142719367356,0.25816601514816284,0.8039204478263855
0,tcl_atomic_weighted,gemnet_block_3,0.08717834204435349,0.0626520612206029,0.0426119803989906,0.4420863269395925,0.25816601514816284,0.8039204478263855
0,tcl_atomic_weighted,gemnet_block_4,0.08717834204435349,0.07796131797158631,0.06598106728115147,0.5785465332372596,0.25816601514816284,0.8039204478263855
0,tcl_atomic_weighted,condition_modules,0.08717834204435349,0.034677550262516746,0.013054426911586366,0.8434214877749323,0.25816601514816284,0.8039204478263855
0,tcl_atomic_weighted,atomic_head,0.08717834204435349,0.09047833491733492,0.08886897897918421,0.8166873680872829,0.25816601514816284,0.8039204478263855
0,tcl_atomic_weighted,ALL_PARAMETERS,0.08717834204435349,0.30350755374775606,1.0,0.3287139964225807,0.25816601514816284,0.8039204478263855
0,tcl_position_weighted,embedding_input,0.0028031668625772,0.002189692952935133,0.28187461795047714,-0.053936288099731534,0.25816601514816284,0.8039204478263855
0,tcl_position_weighted,other_shared,0.0028031668625772,0.0027701832840110853,0.45113501654512705,-0.1814404526032839,0.25816601514816284,0.8039204478263855
0,tcl_position_weighted,position_head,0.0028031668625772,0.001375718209763537,0.11126241979212557,0.19373549561589193,0.25816601514816284,0.8039204478263855
0,tcl_position_weighted,gemnet_block_1,0.0028031668625772,0.0013936239937341608,0.11417756031077168,-0.32019365249696846,0.25816601514816284,0.8039204478263855
0,tcl_position_weighted,gemnet_block_2,0.0028031668625772,0.00043862666086812407,0.011310442092979659,-0.03754142469614774,0.25816601514816284,0.8039204478263855
0,tcl_position_weighted,gemnet_block_3,0.0028031668625772,0.0005933222442288164,0.02069525541653665,-0.027909671262922358,0.25816601514816284,0.8039204478263855
0,tcl_position_weighted,gemnet_block_4,0.0028031668625772,0.00038041729387202993,0.008507658187694686,-0.013524128775205223,0.25816601514816284,0.8039204478263855
0,tcl_position_weighted,condition_modules,0.0028031668625772,0.00013281613365740286,0.001037029704287865,-0.11582568226595069,0.25816601514816284,0.8039204478263855
0,tcl_position_weighted,ALL_PARAMETERS,0.0028031668625772,0.004124347361667349,1.0,-0.12278650786057313,0.25816601514816284,0.8039204478263855
0,tcl_cell_weighted,embedding_input,0.3133352994918823,37.41236900324546,0.6978706234054012,0.3627382264103114,0.25816601514816284,0.8039204478263855
0,tcl_cell_weighted,cell_head,0.3133352994918823,8.520937462847229,0.03620089057544926,0.7228845836157239,0.25816601514816284,0.8039204478263855
0,tcl_cell_weighted,other_shared,0.3133352994918823,18.553779119401938,0.17163634710964107,0.4163661459171603,0.25816601514816284,0.8039204478263855
0,tcl_cell_weighted,gemnet_block_1,0.3133352994918823,11.459812771394201,0.06547862384991994,0.4249257793010507,0.25816601514816284,0.8039204478263855
0,tcl_cell_weighted,gemnet_block_2,0.3133352994918823,4.40657013225821,0.009681571826921198,0.14073523033532304,0.25816601514816284,0.8039204478263855
0,tcl_cell_weighted,gemnet_block_3,0.3133352994918823,4.428804545064613,0.009779519728134858,0.13122756454939663,0.25816601514816284,0.8039204478263855
0,tcl_cell_weighted,gemnet_block_4,0.3133352994918823,4.247002632590367,0.008993102828831912,0.1401176899217063,0.25816601514816284,0.8039204478263855
0,tcl_cell_weighted,condition_modules,0.3133352994918823,0.8489240834513603,0.0003593206757004682,0.1374277665302934,0.25816601514816284,0.8039204478263855
0,tcl_cell_weighted,ALL_PARAMETERS,0.3133352994918823,44.78450213564184,1.0,0.28431531394482135,0.25816601514816284,0.8039204478263855
0,total,embedding_input,0.704241156578064,37.445280558398316,0.6918801341448608,0.3700349135477772,0.25816601514816284,0.8039204478263855
